"","species"
"1","Achatia distincta"
"25","Alsophila pometaria"
"33","Amphipyra pyramidoides"
"34","Amphipyra pyramadoides"
"35","AmphipyraPyramidoides"
"343","Nola triquetrana"
"345","Nola tritrana"
"344","Nola triqutrana"
"359","PYREFERRAHESPERIDAGO"
"377","PyreferraHesperidago"
"415","Pyrefarra..hesperidago"
"440","Prochoerodes lineola"
"477","Pyreferra hesperidago"
"1333","Pyriferra-hesperidago"
"1351","Nematacampa_resistaria"
"1352","Nematocampa resistaria"
"1352","Nematacampa..resistaria"
"1352","NEMATACAMPARESISTARIA"
"1353","Orgyia_leucostigma"
"1359","Pyreferra_Hespiridago"
"1360","Prochoerode.linola"
"1361","Pyrefera_hesperidage"
"3","Abyssal demon"
"4","GT-350"
"5","P.hesperidago"
"7","Pyreferra spp."
"8","noctuid"
